ORF	IniProb	rand_mRNA
YBR257W	0.00126856904605701	2
YBR258C	0.00219050824370743	2
YBR259W	0.000247455662387534	1
YBR260C	0.00076764638458243	8
YBR261C	0.00137895304087803	9
YBR262C	0.00092420743908714	7
YBR263W	0.0015020997652619	25
YBR264C	0.00111153684137497	4
YBR265W	0.00110919504571135	5
YBR267W	0.00153039444314778	6
YBR268W	0.00139200163447313	5
YBR269C	0.00165601712972273	4
YBR271W	0.00072139313513847	1
YBR272C	0.000962361758906366	2
YBR273C	0.00137038315043958	2
YBR274W	0.0004859090889707	2
YBR275C	0.000415378762692191	2
YBR276C	0.00013318983357641	4
YBR278W	0.000938100529118432	4
YBR279W	0.00134070650088524	4
YBR280C	0.000830940447656565	2
YBR281C	0.000998664044717954	1
YBR282W	0.00182278694713523	7
YBR283C	0.00149441755937721	24
YBR284W	0.000286002950867345	1
YBR286W	0.00176080354396887	51
YBR287W	0.000748464059449489	4
YBR288C	0.000853510693100844	8
YBR289W	0.000771723183225148	2
YBR290W	0.00144675508612073	3
YBR291C	0.000809458116865407	2
YBR293W	0.000152038856603102	2
YBR295W	0.000144946669104275	3
YBR296C	0.00144837528614326	1
YCL001W	0.00186641143993899	9
YCL002C	0.000261003137668006	4
YCL004W	0.000330372937331789	1
YCL005W	0.000496449215068455	2
YCL005WA	0.00183207645325428	22
YCL008C	0.00056120555500803	6
YCL009C	0.00130545937476749	31
YCL010C	0.000559198814297308	6
YCL011C	0.000965775924210758	11
YCL012C	0.00121870307885668	1
YCL014W	0.00055138293017595	4
YCL016C	0.00108924550103765	2
YCL017C	0.00140365493980017	7
YCL024W	0.000369701801744228	2
YCL025C	0.00120579100084933	1
YCL026CB	0.00336984416167628	4
YCL027W	0.000855289573576135	4
YCL028W	0.0026779010240664	9
YCL029C	0.000941505424465478	6
YCL030C	0.00143847782464288	19
YCL031C	0.00116510769809255	9
YCL032W	0.000892828789551569	1
YCL033C	0.00154276203114814	3
YCL034W	0.000867528241910561	12
YCL035C	0.00301807438607254	17
YCL036W	0.000456049171030554	3
YCL037C	0.00263124492390458	17
YCL038C	0.000651411324163856	3
YCL039W	0.000715439631031238	1
YCL043C	0.00197692450074568	60
YCL044C	0.00140160502027404	4
YCL045C	0.00105480284159588	14
YCL047C	0.00119950699110274	2
YCL049C	0.00102467739760381	1
YCL050C	0.00336468703593223	16
YCL051W	0.000549798808394614	3
YCL052C	0.000827708480888653	3
YCL054W	0.00169924225455414	3
YCL055W	0.00144507122526996	4
YCL056C	0.000486120202951588	2
YCL057CA	0.00301055007535635	11
YCL057W	0.00100571463296238	12
YCL058WA	0.00443856436624306	3
YCL059C	0.00171217710158594	11
YCL061C	0.000656047415348856	4
YCL063W	0.000676360721040952	2
YCL064C	0.00205177598338036	27
YCR002C	0.00165832217883869	2
YCR003W	0.00204897802073665	4
YCR004C	0.00220605089754901	14
YCR005C	0.00119376340411544	12
YCR007C	0.000453129234816193	2
YCR008W	0.000327145300670577	7
YCR009C	0.00170953735670127	9
YCR011C	0.000824192833339144	13
YCR012W	0.00403596368712193	668
YCR015C	0.000859131214231441	4
YCR016W	0.00179728131379605	6
YCR017C	0.000572817281950285	11
YCR018C	0.000685310242813923	4
YCR019W	0.000710838572806402	3
YCR020CA	0.00135024063833745	5
YCR020WB	0.00192236126539285	4
YCR021C	0.00121287193817722	1
YCR023C	0.000355198836091899	3
YCR024C	0.000795013825256616	1
YCR024CA	0.00559445631870915	169
YCR024CB	7.29226271652249e-07	68
YCR026C	0.000718238759822863	4
YCR027C	0.000821746897383795	1
YCR028C	0.000738822690907326	2
YCR028CA	0.00471441706816015	19
YCR030C	0.00104231195424378	6
YCR032W	0.00019522162091602	2
YCR033W	0.000363131525940461	3
YCR034W	0.00139485894043054	24
YCR035C	0.0013901065046394	6
YCR036W	0.00116846977339497	6
YCR037C	0.000293620857477295	9
YCR042C	0.000747304784412487	4
YCR043C	0.00138285874841838	12
YCR044C	0.000755496431162384	7
YCR046C	0.000963337589908045	10
YCR047C	0.00153849528661723	3
YCR048W	0.000584855246716907	7
YCR051W	0.00157960133681924	14
YCR052W	0.000921322293048453	9
YCR053W	0.0025738424147816	30
YCR054C	0.000975089254125471	3
YCR057C	0.000837788954818055	6
YCR059C	0.000674058835941927	4
YCR060W	0.00103274666451605	6
YCR061W	0.00135926195299228	2
YCR063W	0.00130051286234501	4
YCR065W	0.00071769102100165	4
YCR066W	0.000754181042926102	2
YCR067C	0.000856528697755653	9
YCR068W	0.000506727519452484	3
YCR069W	0.00106873191121686	16
YCR071C	0.00125289784387924	2
YCR072C	0.00150060106151035	3
YCR073C	0.000220685055337447	2
YCR073WA	0.00123041486494578	5
YCR075C	0.000652197347588191	2
YCR075WA	0.00203562482964618	4
YCR076C	0.00121028857498703	5
YCR077C	0.00102309835643	7
YCR079W	0.000248849439782791	3
YCR081W	0.000411049694895361	3
YCR082W	0.000907074248693997	12
YCR083W	0.00124484059434334	11
YCR084C	0.000927061537494702	8
YCR086W	0.00153801871008457	4
YCR087CA	0.00162506446800936	10
YCR088W	0.00263546846279761	18
YCR089W	0.00013614115644292	1
YCR090C	0.00126541741507878	9
YCR091W	0.0006394818595125	1
YCR092C	0.000676428448411879	1
YCR093W	0.000565048472331704	7
YCR094W	0.000925824073002384	3
YCR095C	0.000702662425414883	4
