Gene	Avg_ribo_stall
694	0.755385
695	0.256165
696	0.0555848
697	0.159957
698	0.442163
699	0.0305483
700	0
701	0.132316
702	0.826702
703	1.53547
704	0.876185
705	0.126429
706	0
707	0.013569
708	0.201718
709	0.016271
710	0.287847
711	1.07405
712	0.152169
713	0
714	0.113914
715	0.370846
716	0.333366
717	3.68066
718	0.0964978
719	0
720	0.0158784
721	0.124944
722	0.0880588
723	0.00976671
724	0.463472
725	0.00169573
726	0.0635813
727	0.0361782
728	0.262635
729	0.826637
730	0.0286573
731	0.118145
732	0.0393121
733	6.26997
734	0.0274308
735	0.138118
736	0.0988208
737	0.00715176
738	0.0512007
739	2.68431
740	6.80026
741	0.0106562
742	1.15335
743	0.0540416
744	6.75629
745	0.180916
746	0.102403
747	0.119297
748	0.0509567
749	0.302555
750	0.438224
751	0.219242
752	18.9971
753	0.307837
754	0.0598771
755	0.594675
756	0.565991
757	0.105115
758	0.233048
759	0.128589
760	0.140081
761	0.448901
762	0.123677
763	0.506894
764	0.204998
765	2.93711
766	0.011026
767	0.0579954
768	0.00205445
769	0.282867
770	0.00768649
771	0.533351
772	0.0241767
773	0.0124171
774	0.968749
775	0.0222165
776	0.0123612
777	0
778	0.0634183
779	0.18903
780	0.27813
781	0.204326
782	0
783	0.372313
784	0.0191483
785	1.02632
786	0.405685
787	0.359178
788	0.341585
789	0.100275
790	0.842995
791	0.912029
792	0.0616034
793	0.115242
794	0.274051
795	1.44081
796	0.344446
797	0.551496
798	0.204472
799	0.0397611
800	0
801	0.136318
802	0.0281221
803	0.122227
804	0.162335
805	0.0881225
806	0.611419
807	0.109331
808	0.118823
809	0.502515
810	0.0494415
811	0.619819
812	0.0951674
813	0.238771
814	0.206127
815	0.0810623
816	0.0273942
817	0.00320013
818	0.859738
819	0.0349259
820	2.63964
821	0.0405415
822	0.0341947
823	0.0417155
824	0.578719
825	0.0481836
826	0.0296666
827	0.358436
828	0
829	0.183345
830	0.072079
831	0.214489
832	0.0699772
833	0.504562
834	0.558854
835	0.0709684
836	0.578162
837	0.388593
838	0.274659
839	0.602817
840	8.63916
841	0.61226
842	8.59065
