Gene	Num_of_events	Avg_total_elong_time(sec)	Num_elng_stall	Num_chx_stall
821	31	59.0281	0	0
822	32	86.918	0	0
823	14	83.9861	0	0
824	123	231.5	0	0
825	18	116.798	0	0
826	24	115.097	0	0
827	300	14.2773	0	0
828	18	34.2436	0	0
829	40	296.904	0	0
830	37	62.9327	0	0
831	71	91.234	1	0
832	91	92.6892	1	0
833	126	97.293	0	0
834	117	116.673	0	0
835	46	81.5022	0	0
836	301	57.5224	0	0
837	109	58.7933	0	0
838	191	38.2828	0	0
839	180	65.0913	1	0
840	19481	11.6839	9	0
841	285	26.2352	0	0
842	2635	37.9651	6	0
843	26	203.833	0	0
844	6	141.994	0	0
845	275	60.6691	0	0
846	87	37.4297	0	0
847	100	31.4808	0	0
848	54	103.997	0	0
849	136	58.8135	0	0
850	45	145.831	0	0
851	140	39.3397	0	0
852	213	69.1582	1	0
853	33	92.6331	0	0
854	52	56.7113	0	0
855	881	79.4099	1	0
856	49	62.0598	0	0
857	465	29.3626	0	0
858	133	51.8985	0	0
859	34	109.208	0	0
860	559	32.8338	1	0
861	151	27.5923	0	0
862	54	26.1112	0	0
863	9	79.7571	0	0
864	11	240.005	0	0
865	38	75.8547	0	0
866	119	82.2508	0	0
867	22	38.3695	0	0
868	77	46.3786	0	0
869	23	29.5846	0	0
870	47	147.019	0	0
871	585	89.6335	2	0
872	149	91.6693	0	0
873	434	63.0909	0	0
874	38	57.9073	0	0
875	61	70.108	0	0
876	150	88.317	0	0
877	97	77.1476	1	0
878	58	39.7133	0	0
879	34	64.6114	0	0
880	47	77.0955	0	0
881	43	95.6528	0	0
882	92	26.4565	0	0
883	29	60.8774	0	0
884	83	54.0022	0	0
885	40	118.197	0	0
886	31	148.492	0	0
887	34	126.893	0	0
888	31	125.161	0	0
889	1208	11.4236	0	0
890	239	97.5121	0	0
891	462	73.4026	2	0
892	51	161.488	0	0
893	688	54.8899	0	0
894	12	198.945	0	0
895	45	213.36	0	0
896	53	74.0556	0	0
897	70	111.853	0	0
898	20	62.6467	0	0
899	7221	9.32458	6	0
900	6093	17.9402	6	0
901	24	218.039	0	0
902	66	101.839	0	0
903	93	83.0587	0	0
904	63	37.193	0	0
905	330	72.5282	1	0
906	1060	29.3979	3	0
907	178	98.0197	0	0
908	45	90.6249	0	0
909	63	33.3465	0	0
910	96	44.1041	0	0
911	411	135.825	2	0
912	64	134.837	0	0
913	19	83.9888	0	0
914	37	85.8088	0	0
915	55	99.7757	0	0
916	143	59.9465	0	0
917	46	37.0553	1	0
918	18	69.0498	0	0
919	90	27.0379	0	0
920	21	66.9705	0	0
921	58	141.941	0	0
922	67	24.9592	1	0
923	31	29.5462	0	0
924	11	73.4564	0	0
925	41	67.0117	0	0
926	85	75.1405	0	0
927	171	107.771	1	0
928	11	62.616	0	0
929	113	29.0786	0	0
930	30	87.5785	0	0
931	77	48.0934	0	0
932	143	122.897	0	0
933	32	59.9567	0	0
934	86	96.6747	0	0
935	45	46.5951	0	0
936	77	62.8989	0	0
937	14	157.716	0	0
938	121	39.3808	0	0
939	12	56.6409	0	0
940	19	39.4153	0	0
941	2572	6.57556	1	0
942	28	78.2535	0	0
943	56	57.299	0	0
944	321	48.716	0	0
945	135	22.4295	0	0
946	16	69.679	0	0
947	34	256.997	0	0
948	61	45.1804	0	0
949	12	145.467	0	0
950	99	18.7677	0	0
951	31	46.0107	0	0
952	24	46.3548	0	0
953	141	62.7308	0	0
954	17	164.671	0	0
955	79	94.3269	0	0
956	192	178.755	1	0
957	137	82.5483	0	0
958	68	109.863	0	0
959	142	43.9663	0	0
960	193	49.4468	0	0
961	482	27.2773	0	0
962	78	69.8153	0	0
963	163	58.7718	0	0
964	55	203.914	1	0
965	119	31.6017	0	0
966	67	140.922	0	0
967	1300	27.992	0	0
968	66	32.1413	0	0
969	41	79.0804	0	0
970	60	104.902	0	0
971	235	24.9429	0	0
972	135	69.3087	2	0
973	89	166.762	0	0
974	75	89.311	0	0
975	25	54.184	0	0
976	13	102.884	0	0
977	28	44.4029	0	0
978	59	68.8849	0	0
979	14	69.3653	0	0
980	30	56.9904	0	0
981	74	45.8612	0	0
982	40	99.2039	0	0
983	131	16.6698	0	0
984	624	51.1784	1	0
985	257	15.9722	0	0
986	120	62.1883	0	0
987	8	85.9285	0	0
988	130	108.509	0	0
989	40	170.402	0	0
990	32	221.489	0	0
991	627	30.2847	2	0
992	23	85.4086	0	0
993	55	77.8364	0	0
994	131	69.6774	0	0
995	22	108.557	0	0
996	55	114.666	0	0
997	14	243.343	0	0
998	77	194.459	0	0
999	14	54.0358	0	0
1000	81	42.973	0	0
1001	17	112.767	0	0
1002	443	28.1145	0	0
1003	980	68.0985	3	0
1004	432	59.6179	2	0
1005	49	55.8117	0	0
1006	187	80.3152	0	0
1007	55	99.4539	0	0
1008	10	120.431	0	0
1009	42	148.905	0	0
1010	31	54.8157	1	0
1011	1603	35.7259	4	0
1012	199	63.4949	0	0
1013	50	152.738	0	0
1014	52	20.4039	0	0
1015	34	95.6682	0	0
1016	36	167.549	0	0
1017	127	41.254	0	0
1018	35	112.728	0	0
1019	28	73.1986	0	0
1020	1053	12.2538	1	0
1021	38	72.3577	0	0
1022	79	85.2639	1	0
1023	85	35.3263	0	0
1024	314	37.7932	1	0
1025	13	137.353	0	0
1026	22	77.5384	0	0
1027	20	69.7528	0	0
1028	340	48.4425	0	0
1029	164	31.9046	0	0
1030	128	19.088	0	0
1031	45	66.6623	0	0
1032	79	72.7108	0	0
1033	616	11.3919	0	0
1034	385	17.2969	0	0
1035	233	11.3488	0	0
1036	8	170.062	0	0
1037	61	93.5269	0	0
1038	91	18.7571	0	0
1039	2456	29.1048	5	0
1040	21903	6.77206	2	0
1041	49	41.5423	0	0
1042	292	47.2764	1	0
1043	52	110.804	0	0
1044	35	92.2371	0	0
1045	534	68.9896	1	0
1046	76	109.428	0	0
1047	43	97.5838	0	0
1048	54	34.3871	0	0
1049	63	57.0609	0	0
1050	30	70.2607	0	0
1051	333	60.1659	0	0
1052	339	135.024	2	0
1053	173	25.8047	0	0
1054	46	96.488	0	0
1055	894	27.6794	1	0
1056	59	51.6952	0	0
1057	162	28.5338	1	0
1058	22	51.9645	0	0
1059	16	221.702	1	0
1060	44	200.855	0	0
1061	196	35.652	0	0
1062	55	45.1755	0	0
1063	72	58.7253	1	0
1064	249	37.3012	2	0
1065	29	66.0004	0	0
1066	87	57.6252	0	0
1067	53	143.06	0	0
1068	24	111.526	0	0
1069	23	163.622	0	0
1070	52	137.588	0	0
1071	42	77.2284	0	0
1072	623	12.8386	0	0
1073	20	101.961	0	0
1074	213	49.9904	0	0
1075	108	45.504	0	0
1076	731	34.1339	2	0
1077	75	147.393	0	0
1078	1606	45.8328	6	0
